4	2023-03-11T22:22:44.904123642-0500	136.160.215.194	00:50:56:86:02:65	00:50:56:86:cb:fc
6	2023-03-11T22:22:49.943043799-0500	136.160.215.15	00:50:56:86:cb:fc	00:50:56:86:02:65
